2024-04-27 18:52:27.061437 [INFO] ('Mensage generico', '200')
2024-04-27 18:52:27.064031 [WARNING] ('Mensage generico', '404')
2024-04-27 18:52:27.066152 [ERROR] ('Mensage generico', '401')
2024-04-27 18:52:27.067171 [DEBUG] ('Mensage generico', '500')
2024-04-27 18:54:28.275888 [INFO] ('Mensage generico', '200')
2024-04-27 18:54:28.278604 [WARNING] ('Mensage generico', '404')
2024-04-27 18:54:28.280627 [ERROR] ('Mensage generico', '401')
2024-04-27 18:54:28.281635 [DEBUG] ('Mensage generico', '500')
2024-04-27 19:05:55.391001 [INFO] ('Mensage generico', '200')
2024-04-27 19:05:55.394372 [WARNING] ('Mensage generico', '404')
2024-04-27 19:05:55.395488 [ERROR] ('Mensage generico', '401')
2024-04-27 19:05:55.396538 [DEBUG] ('Mensage generico', '500')
